grade	word	meaning	category
1-1	hello	你好	greeting
1-1	hi	你好	greeting
1-1	goodbye	再见	greeting
1-1	morning	早上，上午	time
1-1	afternoon	下午	time
1-1	I	我	pronoun
1-1	am	是	verb
1-1	school	学校	place
1-1	day	天，白天	time
1-1	give	给	verb
1-1	me	我	pronoun
1-1	a	一个	article
1-1	please	请	phrase
1-1	thank	感谢	verb
1-1	you	你	pronoun
1-1	book	书	school
1-1	ruler	尺子	school
1-1	pencil	铅笔	school
1-1	rubber	橡皮	school
1-1	on	在……上面	prep
1-1	Sunday	星期天	day
1-1	how	怎样	question
1-1	nice	好的，令人愉快的	adj
1-1	this	这，这个	pronoun
1-1	is	是	verb
1-1	my	我的	pronoun
1-1	face	脸	body
1-1	mouth	嘴巴	body
1-1	nose	鼻子	body
1-1	eye	眼睛	body
1-1	ear	耳朵	body
1-1	touch	触摸	verb
1-1	your	你的	pronoun
1-1	picture	图画，照片	noun
1-1	look	看	verb
1-1	no	不	adv
1-1	not	不是，不	adv
1-1	can	能，会	verb
1-1	sing	唱歌	verb
1-1	dance	跳舞	verb
1-1	read	读	verb
1-1	draw	画画	verb
1-1	what	什么	question
1-1	do	做	verb
1-1	who	谁	question
1-1	she	她	pronoun
1-1	grandmother	祖母，外祖母	family
1-1	he	他	pronoun
1-1	father	爸爸	family
1-1	grandfather	祖父，外祖父	family
1-1	mother	妈妈	family
1-1	yes	是	adv
1-1	tall	高的	adj
1-1	short	矮的，短的	adj
1-1	fat	胖的	adj
1-1	thin	瘦的，薄的	adj
1-1	classmate	同学	person
1-1	friend	朋友	person
1-1	how many	多少	phrase
1-1	three	三	number
1-1	two	二	number
1-1	six	六	number
1-1	one	一	number
1-1	four	四	number
1-1	five	五	number
1-1	let's	让我们	phrase
1-1	count	数数	verb
1-1	apple	苹果	food
1-1	pear	梨	food
1-1	peach	桃子	food
1-1	orange	橙子	food
1-1	at	在	prep
1-1	the	这，那些	article
1-1	supermarket	超市	place
1-1	May	可以	verb
1-1	have	有，吃	verb
1-1	pie	馅饼	food
1-1	hamburger	汉堡包	food
1-1	pizza	比萨	food
1-1	cake	蛋糕	food
1-1	snack	点心	food
1-1	bar	条	noun
1-1	moo	哞	sound
1-1	that	那个	pronoun
1-1	cow	奶牛	animal
1-1	chick	小鸡	animal
1-1	peep	啾啾	sound
1-1	duck	鸭子	animal
1-1	pig	猪	animal
1-1	oink	哼哼	sound
1-1	quack	嘎嘎	sound
1-1	cut	剪，切	verb
1-1	stick	粘贴	verb
1-1	monkey	猴子	animal
1-1	bear	熊	animal
1-1	panda	熊猫	animal
1-1	tiger	老虎	animal
1-1	colour	颜色	noun
1-1	yellow	黄色的	color
1-1	red	红色的	color
1-1	blue	蓝色的	color
1-1	green	绿色的	color
1-1	small	小的	adj
1-1	go	走，去	verb
1-1	big	大的	adj
1-2	see	看见	verb
1-2	frog	青蛙	animal
1-2	rabbit	兔子	animal
1-2	bee	蜜蜂	animal
1-2	bird	鸟	animal
1-2	listen	听	verb
1-2	hear	听见	verb
1-2	sheep	羊	animal
1-2	hen	母鸡	animal
1-2	dog	狗	animal
1-2	cat	猫	animal
1-2	home	家	place
1-2	smell	闻	verb
1-2	taste	品尝	verb
1-2	rice	米饭	food
1-2	soup	汤	food
1-2	egg	鸡蛋	food
1-2	noodles	面条	food
1-2	yummy	好吃的	adj
1-2	restaurant	餐馆	place
1-2	help	帮助	verb
1-2	stand up	站起来	phrase
1-2	flower	花	nature
1-2	toy	玩具	toy
1-2	like	喜欢	verb
1-2	ball	球	noun
1-2	doll	玩偶	toy
1-2	kite	风筝	toy
1-2	bicycle	自行车	vehicle
1-2	toy shop	玩具店	place
1-2	super	极好的	adj
1-2	food	食物	food
1-2	sweet	甜的	adj
1-2	jelly	果冻	food
1-2	ice cream	冰淇淋	food
1-2	biscuit	饼干	food
1-2	teatime	下午茶时间	time
1-2	for	为了	prep
1-2	and	和	conj
1-2	sorry	对不起	phrase
1-2	very much	非常	phrase
1-2	drink	喝	verb
1-2	water	水	drink
1-2	cola	可乐	drink
1-2	juice	果汁	drink
1-2	milk	牛奶	drink
1-2	birthday	生日	time
1-2	party	聚会	activity
1-2	happy	开心的	adj
1-2	song	歌曲	noun
1-2	season	季节	season
1-2	spring	春天	season
1-2	autumn	秋天	season
1-2	summer	夏天	season
1-2	winter	冬天	season
1-2	white	白色的	color
1-2	grass	草	nature
1-2	watermelon	西瓜	food
1-2	how	怎样	question
1-2	weather	天气	noun
1-2	cloudy	多云的	weather
1-2	sunny	晴朗的	weather
1-2	rainy	下雨的	weather
1-2	windy	刮风的	weather
1-2	go	走，去	verb
1-2	to	向，到	prep
1-2	beach	海滩	place
1-2	clothes	衣服	clothes
1-2	need	需要	verb
1-2	new	新的	adj
1-2	T-shirt	T 恤衫	clothes
1-2	dress	连衣裙	clothes
1-2	shorts	短裤	clothes
1-2	blouse	女衬衫	clothes
1-2	don't	不要，不	phrase
1-2	activity	活动	activity
1-2	ride	骑	verb
1-2	skip	跳绳	verb
1-2	play	玩	verb
1-2	fly	放飞	verb
1-2	playtime	游戏时间	time
1-2	football	足球	sport
1-2	rope	绳子	noun
1-2	new year	新年	time
1-2	gift	礼物	noun
1-2	card	卡片	noun
1-2	firecracker	鞭炮	noun
1-2	firework	烟花	noun
1-2	make	做，制作	verb
1-2	write	写	verb
1-2	fold	折叠	verb
1-2	miss	小姐	title
1-2	shopping	购物	activity
1-2	boy	男孩	person
1-2	wolf	狼	animal
1-2	farmer	农民	job
1-2	narrator	旁白者	person
1-2	come	来	verb
1-2	where	哪里	question
1-2	bad	坏的	adj
1-2	poor	可怜的，差的	adj
1-2	tell	告诉	verb
1-2	lie	说谎	verb
1-2	run away	跑开，逃走	phrase
2-1	good	好的	adj
2-1	morning	早晨	time
2-1	afternoon	下午	time
2-1	evening	傍晚，晚上	time
2-1	night	夜晚	time
2-1	day	白天，天	time
2-1	mum	妈妈	family
2-1	today	今天	time
2-1	very well	很好	phrase
2-1	ant	蚂蚁	animal
2-1	bear	熊	animal
2-1	tall	高的	adj
2-1	short	矮的，短的	adj
2-1	boy	男孩	person
2-1	girl	女孩	person
2-1	big	大的	adj
2-1	small	小的	adj
2-1	no	不	adv
2-1	yes	是	adv
2-1	name	名字	noun
2-1	sorry	对不起	phrase
2-1	seven	七	number
2-1	eight	八	number
2-1	nine	九	number
2-1	ten	十	number
2-1	elephant	大象	animal
2-1	swim	游泳	verb
2-1	run	跑	verb
2-1	write	写	verb
2-1	fly	飞	verb
2-1	ride a bicycle	骑自行车	phrase
2-1	can't	不会，不能	phrase
2-1	giraffe	长颈鹿	animal
2-1	family	家庭	noun
2-1	brother	兄弟	family
2-1	sister	姐妹	family
2-1	friend	朋友	person
2-1	young	年轻的	adj
2-1	old	年老的，旧的	adj
2-1	insect	昆虫	animal
2-1	jellyfish	水母	animal
2-1	hair	头发	body
